Company Name,Manual Score,Rationale,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Subsidiary of (Organization ID),Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Prerequisite: Research Target Company,Qualify Account,Prerequisite: Determine Research Guidelines
KPM Technology,10,"Ideal Target. Perfect headcount (24), 27-year tenure, and explicitly markets ""hardwaresoftware sales,"" a major stagnation signal for a searcher to optimize .",KPM Technology,Cold,,24,information technology & services,yutongwen@gmail.com,http://www.kpmtechnology.com,http://www.linkedin.com/company/kpm-technology-llc,https://www.facebook.com/KPMTechnology/,https://twitter.com/KPMTechnology,1436 S Glenstone Ave,Springfield,Missouri,United States,65804-1426,"1436 S Glenstone Ave, Springfield, Missouri, United States, 65804-1426","network design implementation, bank examiner preliminary audits penetration tests, unlimited onsite remote service, network design amp implementation, unlimited onsite amp remote service, hardwaresoftware sales service, 247 monitoring, network security audits, computernetwork management support, hardwaresoftware sales amp service, bank examiner preliminary audits amp penetration tests, firewall protection, computernetwork management amp support, network monitoring, structured cabling, network security, remote support, consulting, information technology and services, services, network troubleshooting, it outsourcing, disaster recovery, voip solutions, enterprise lan/wan, business continuity, b2b, software management, wireless mesh networks, vendor management, computer systems design and related services, high-end routing, security & compliance, it solutions, firewall management, hardware provisioning, network architecture, it consulting, it support, fiber cabling, onsite support, hipaa compliance, it vendor coordination, risk management, fdic security audits, firewall planning, business software support, network assessments, virus protection, managed it services, data backup, information technology & services, outsourcing/offshoring, management consulting",'+1 417-875-1100,"Mimecast, Outlook, Microsoft Office 365, GoDaddy Hosting, Google Tag Manager, Google Maps, Bootstrap Framework, Apache, Google Font API, WordPress.org, Mobile Friendly, Micro, Android, Remote, Node.js",,,,,4271000,,69e13f2a92aeb40001c7313d,7374,54151,"KPM Technology offers a wide range of I.T. services, products, and network solutions to our clients so they may focus on efficiently running their businesses. 

Our technicians proactively monitor your network and are available to assist when issues arise. We simplify I.T.",1999,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68652ac8a4d5a60001e06d0a/picture,,,,,,,,,
Nemsys,9.5,"High ""switching cost"" due to proprietary ""Connect"" platform (+2). Stable revenue ($4.6M) and size (29). Founded in 1999 shows succession potential.",Nemsys,Cold,,29,information technology & services,yutongwen@gmail.com,http://www.nemsys.com,http://www.linkedin.com/company/nemsys,https://www.facebook.com/nemsysllc/,https://twitter.com/NemsysLLC,902 N Superior St,Toledo,Ohio,United States,43604-1741,"902 N Superior St, Toledo, Ohio, United States, 43604-1741","it services & it consulting, remote it staffing, cabling solutions, seo services, consulting, system integration, services, air-gapped data protection, immutable backups, hosting services, computer systems design and related services, cybersecurity services, ai-integrated security cameras, digital marketing, managed it services, cloud solutions, managed services, b2b, perimeter security, help desk support, endpoint detection and response (edr), web services, cloud management, cybersecurity, information technology and services, backup & disaster recovery, website development, data security, patch management, business continuity planning, it consulting, security operations center (soc), network management, compliance management, information technology & services, search marketing, marketing, marketing & advertising, cloud computing, enterprise software, enterprises, computer software, web development, computer & network security, management consulting",'+1 419-243-3603,"Cloudflare DNS, Sendgrid, Outlook, Microsoft Office 365, CloudFlare Hosting, Slack, reCAPTCHA, WordPress.org, Mobile Friendly, Microsoft-IIS, Google Analytics, Google Maps, Google Font API, ASP.NET, Vimeo, Eventbrite, DoubleClick, Google Tag Manager, Gravity Forms, Remote",,,,,4610000,,69e13f2a92aeb40001c73145,7379,54151,"Nemsys provides full service IT Solutions for their clients based in the metro Toledo area and operating across the United States. Leveraging its powerful proprietary software platform, Nemsys provides a host of business technology solutions all focused on providing a stable and reliable and platform which ensures their clients timely access their information.

Nemsys has created its game changing Connect product which leverages proven technology from industry leaders and provides support and client IT training to maximize their clients IT effectiveness.  

Nemsys serves a variety of business including Government, Education, Health Care, Professional Service, Non-profit and Financial service agencies. Nemsys: Business IT Perfected!",1999,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69c49d0a70fc5a0001679c47/picture,,,,,,,,,
"Real IT Solutions, Inc.",9.5,"Perfect search fund profile: 21 staff, $3.6M revenue, 20-year history. Strong focus on legacy manufacturing clients (+2) .",Real IT Solutions,Cold,,21,computer networking,yutongwen@gmail.com,http://www.realitsolutions.com,http://www.linkedin.com/company/real-it-solutions-inc,https://www.facebook.com/realitsolutions,https://twitter.com/realitsolutions,720 3 Mile Rd NW,Grand Rapids,Michigan,United States,49544-8254,"720 3 Mile Rd NW, Grand Rapids, Michigan, United States, 49544-8254","compliance, cybersecurity, it consulting, troubleshooting, technology solutions, computer networking products, it services, managed it services, it support, data backup solutions, virtualization, co-managed it services, it project management, voip phone systems, cloud computing, help desk support, server support, network security, disaster recovery, technical support, remote support, it infrastructure management, business it solutions, technology management, proactive it support, custom it services, it strategy, it optimization, network management, compliance solutions, data encryption, business continuity, cost-effective it, it monitoring, it troubleshooting, hardware support, software support, user training, firewall protection, malware protection, risk assessment, cloud migration, it assessment, telephony solutions, it contracts, technology partnerships, service level agreements, customer service, it budgeting, business process improvement, system upgrades, wifi optimization, it outsourcing, small business it solutions, b2b, consulting, services, information technology & services, management consulting, enterprise software, enterprises, computer software, computer & network security, outsourcing/offshoring",'+1 616-209-8900,"Cloudflare DNS, Outlook, Microsoft Office 365, CloudFlare Hosting, Salesforce, Slack, Hubspot, Linkedin Marketing Solutions, Bing Ads, YouTube, Facebook Custom Audiences, Google Font API, New Relic, Facebook Login (Connect), Google Tag Manager, Mobile Friendly, WordPress.org, Facebook Widget, Remote",,,,,3602000,,69e13f2a92aeb40001c731da,7371,54151,"Real IT Solutions, Inc. is a managed IT service provider based in Grand Rapids, Michigan, founded in 2006 by Matt Kahle and Adam Peterson. The company focuses on serving small and medium-sized businesses in West Michigan, employing a team of fewer than 25 professionals with extensive IT experience. Real IT Solutions aims to be a comprehensive resource for technology needs, offering cost-effective solutions that enhance efficiency, customer service, and system security.

The company provides a range of IT services, including managed IT and co-managed IT, IT consulting, data backup and recovery, network security, and cloud computing. They also offer VoIP and colocation services. Real IT Solutions partners with well-known vendors like VMware and Cisco to deliver these services. Their competitive pricing structure accommodates various project sizes, making them accessible to growing businesses in sectors such as manufacturing, architecture, and construction.",2006,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68733d51ef39db000105a844/picture,,,,,,,,,
Starfish Computer Corporation,9.5,"30-year history. Markets ""onsite support"" and ""VoIP,"" indicating a ""stable but stagnant"" business model perfect for 10x growth .",Starfish Computer,Cold,,28,information technology & services,yutongwen@gmail.com,http://www.starfishcomputer.com,http://www.linkedin.com/company/starfish-computer-corporation,https://facebook.com/starfishcomputer,https://twitter.com/StarfishComp,24831 Lorain Road,North Olmsted,Ohio,United States,44070,"24831 Lorain Road, North Olmsted, Ohio, United States, 44070","voip business communication, disaster recovery testing, it consulting for credit unions, manufacturing, network monitoring, managed security services, 19 second response guarantee, information technology and services, it infrastructure, security monitoring, it policy development, it project management, it services, cloud solutions, cybersecurity services, ohio credit union it compliance, siem, it maintenance, business it consulting, 24/7 technical support, xdr, it service level agreement, virtual cto, custom it design for financial institutions, ohio it services, it risk management, it project execution, managed it for manufacturing, it help desk, data protection, it system upgrades, geolocation blocking, business continuity, cybersecurity architecture, extended detection and response (xdr), managed it services, voip services, regulatory compliance assistance, b2b, business continuity planning, cloud services, it security compliance for ohio, client support, disaster recovery planning, security information and event management (siem), network security, disaster recovery, cybersecurity for credit unions, it strategy development, it consulting, remote disaster recovery, education, business technology support, remote forensic investigations, business technology, it solutions, it infrastructure assessment, it support for educational institutions, cloud computing, remote management, digital forensics, it service guarantee, it compliance, it support for financial industry, it strategy, incident response, it support, remote it support, it security, client support services, it audit support, it system integration, cloud migration services, it budget management, remote network management, financial services, remote network monitoring, cyber threat mitigation, regulatory compliance, advanced persistent threat protection, 24/7 support, it compliance audits, it vendor management, multi-factor authentication, services, vendor partnerships, data backup and recovery, ohio-based it provider, it optimization, technology solutions, real estate, vendor-certified technicians, technology solutions provider, security awareness training, all-in-one it solutions, computer systems design and related services, cybersecurity, cloud security, threat detection, industry-leading vendor certifications, it staff training, cyber threat protection, consulting, it infrastructure management, finance, mechanical or industrial engineering, information technology & services, enterprise software, enterprises, computer software, management consulting, computer & network security",'+1 440-808-0468,"Mailchimp Mandrill, Outlook, DigitalOcean, Pipedrive, Leadfeeder, Barracuda Networks, Slack, YouTube, Nginx, Google Font API, Google Tag Manager, Mobile Friendly, Bootstrap Framework, Android, Remote, AI, Aruba, VLAN, Microsoft Windows Server 2012, VMware, Microsoft Hyper-V Server, WatchGuard, Microsoft Active Directory Federation Services, Cisco VPN",,,,,7456000,,69e13f2a92aeb40001c731db,7371,54151,"Starfish Computer Corporation is a managed IT services provider based in North Olmsted, Ohio. Founded in 1996 by R.J. Arhar, the company has over 28 years of experience in delivering customized IT design, management, and support primarily to small and mid-size businesses in the Greater Ohio region, including Cleveland and Akron. With a commitment to professional service, Starfish offers a unique 19 Second-Or-Less Response Time Guarantee, ensuring prompt technician support.

The company provides a range of services, including managed IT services, cybersecurity solutions, cloud computing, data backup and recovery, and VoIP services. Starfish focuses on enhancing operational efficiency and providing peace of mind for clients with complex IT needs. Recognized by Microsoft for its innovative security solutions, Starfish has also been honored as one of Northeast Ohio's fastest-growing companies through the Weatherhead 100 Award.",1994,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67514ed98cfec700018e2b59/picture,,,,,,,,,
Lasco,7,"Very stable (founded 1967), but headcount (37) is over the 30-staff limit. High local dominance makes it a ""safe"" but harder-to-buy target .",Lasco,Cold,,37,information technology & services,yutongwen@gmail.com,http://www.lascoinc.com,http://www.linkedin.com/company/lasco-inc-,https://facebook.com/lascoinc,,205 N Lakeshore Blvd,Marquette,Michigan,United States,49855,"205 N Lakeshore Blvd, Marquette, Michigan, United States, 49855","cyber security, financial institutions services, data backup & redundancy, application support, hosted data center, core banking solutions, managed it services, help desk support, it solutions, it assessments, help desk, communications, check 21 processing, it assessments & consulting, data security, account balancing & backroom support, disaster recovery, network design, surveillance, it consulting, statement print, it infrastructure planning, it services & it consulting, cybersecurity and compliance, it audit services, compliance, security vulnerability assessments, it support services, cybersecurity, regulatory compliance consulting, it consulting for non-profits, it infrastructure evaluation, consulting, support for community banks, security awareness training, financial services software, vendor documentation management, cybersecurity assessments, computer systems design and related services, b2b, regulatory compliance, disaster recovery solutions, it services, information technology, support for legal and healthcare sectors, managed services, financial services, data center services, services, network security, financial institution support, network hardware and management, banking support, finance, legal, non-profit, computer & network security, information technology & services, management consulting, nonprofit organization management",'+1 800-800-6197,"Amazon SES, GoDaddy Hosting, Remote",,,,,10000000,,69e13f2a92aeb40001c731e5,7375,54151,"Lasco has been providing diverse solutions to businesses, organizations and financial institutions across Michigan's Upper Peninsula and in Wisconsin since 1967.  As technology continues to evolve, the demands on each business to provide secure solutions are increasing.  With more than 50 years of experience, our knowledge and expertise is unparalleled in our market.  Our professional team of consultants and technicians offer the highest level of security for you and your client's information.
Lasco is locally owned and based out of Marquette Michigan. We pride ourselves on providing our clients with timely solutions to daily issues that arise in the fast pace world of technology. Lasco is always there for our clients and don't approach our businesses and clients as one size fits all. We are always there for our customers and have a "" Can Do Approach"" to everything we do. Visit our Website or give us a call if you have concerns or needs that we may offer a solution for  your business.   www.lascoinc.com or 1.800.800.6197",1967,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69ac5ae60aaa6f00012dd056/picture,,,,,,,,,
3SG Plus,6.5,"High stagnation signal from ""paper to digital"" and ""document scanning"" services (+2). Founded in 1997 (+1). However, a headcount of ~51 and $10.8M revenue place it at the upper limit of a ""manageable"" search acquisition. Rationale: ""Small businesses go through relatively predictable stages... Each stage requires the CEO to harness different stage-appropriate skills"".",3SG Plus,Cold,,41,information technology & services,yutongwen@gmail.com,http://www.3sgplus.com,http://www.linkedin.com/company/3sgplus,https://facebook.com/3SGPlus/,https://twitter.com/3sgplus,8415 Pulsar Pl,Columbus,Ohio,United States,43240,"8415 Pulsar Pl, Columbus, Ohio, United States, 43240","hyland onbase, rare document management, licensing & permitting systems, document scanning, transition to digital from paper docs, managed services, staffing augmentation, professional services, accela citizen services, digital transformation, enterprise content management, cybersecurity implementation, accela optimization, document archiving, transition to cloud from onpremise, it services & it consulting, security policies, natural language processing (nlp), utilities, process optimization, regulatory compliance automation, services, role-based access, ongoing support, audit trails, data migration, client-specific customization, hybrid cloud security, workflow automation, security automation, accela civic platform, ai & ml-powered content management, b2b, system integration, document imaging, custom workflow automation, cybersecurity solutions, operational efficiency, data protection, workflow development, computer systems design and related services, api integration, security monitoring, zero trust architecture, government, cloud solutions, custom software development, data security, education, microsegmentation, real-time reporting, risk management, onbase by hyland, threat detection, content centralization, intelligent document processing, consulting, security policy enforcement, security framework, secure data exchange, hybrid multi-cloud environments, managed it services, robotic process automation (rpa), regulatory compliance, ai-driven document processing, regulatory standards, network security, energy & utilities, professional training & coaching, information technology & services, document management, cloud computing, enterprise software, enterprises, computer software, computer & network security",'+1 614-407-7990,"Outlook, Microsoft Office 365, GoDaddy Hosting, Slack, Hubspot, Google Tag Manager, Apache, Mobile Friendly, WordPress.org, Google Analytics, Google Font API, Remote, AI",,,,,5000000,,69e13f2a92aeb40001c731e9,7375,54151,"3SG Plus is a technology reseller and IT managed services provider based in Columbus, Ohio, with a branch in Hartford, Connecticut. As a certified minority business enterprise with over 20 years of experience, the company focuses on digital transformation, artificial intelligence, and IT services. With around 51 employees, 3SG Plus serves hundreds of customers across 30 cities in 14 states, generating approximately $10.8 million in annual revenue.

The company offers a wide range of services, including Enterprise Content Management (ECM) and Business Process Management (BPM) enhanced with AI technologies. They also provide digital transformation and managed services, cybersecurity solutions aligned with SOC 2 standards, IT infrastructure and network services, and custom integrations to automate workflows. 3SG Plus targets various sectors, including government agencies, higher education institutions, correctional facilities, and private enterprises, helping them modernize operations and improve service delivery.",1997,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69629bb548c464000164edca/picture,,,,,,,,,
"SundogIT, Inc.",8.5,"Excellent tenure (35 years) and Midwest focus (+1). Solid revenue quality indicators, though ""no long-term contracts"" poses a minor risk to the ""Nature of Revenue"" safety net (-0.5). Rationale: ""Search funds allow aspiring entrepreneurs the opportunity to search for, acquire, manage, and grow a company"" from retiring owners.",SundogIT,Cold,,37,information technology & services,yutongwen@gmail.com,http://www.sundogit.com,http://www.linkedin.com/company/sundogitinc,https://www.facebook.com/sundogitinc,https://twitter.com/SundogIT,230 E Lincoln Hwy,DeKalb,Illinois,United States,60115-3229,"230 E Lincoln Hwy, DeKalb, Illinois, United States, 60115-3229","virtualization, computer networking, cloud services, it cosourcing, it audits, voip, backup & disaster recovery, it consulting, video suveillance, email spam protection, access control, managed services, complete it outsourcing, cybersecurity solutions, managed it services, cybersecurity, government, voip business phones, cloud migration, b2b, network security, risk management, proactive it management, computer systems design and related services, it support, consulting, data recovery, services, msp, cloud computing, business continuity, information technology and services, microsoft 365, saas, healthcare, legal, non-profit, manufacturing, information technology & services, enterprise software, enterprises, computer software, management consulting, health care, health, wellness & fitness, hospital & health care, nonprofit organization management, mechanical or industrial engineering",'+1 815-991-2400,"Sendgrid, Outlook, Microsoft Office 365, CloudFlare Hosting, InfusionSoft, Slack, Hubspot, Quantcast, DoubleClick Conversion, Bing Ads, Google Font API, Facebook Login (Connect), DoubleClick, Disqus, Linkedin Marketing Solutions, Facebook Custom Audiences, Mobile Friendly, Vimeo, Google Analytics, YouTube, Adobe Media Optimizer, Gravity Forms, Linkedin Widget, BuySellAds, Wistia, ShareThis, Visual Visitor, Facebook Widget, reCAPTCHA, Google AdSense, Google Dynamic Remarketing, Cedexis Radar, Typekit, AddThis, WordPress.org, Google Tag Manager, Remote, AI",,,,,9000000,,69e13f2a92aeb40001c731f2,7371,54151,"SundogIT, Inc. is a veteran-owned managed IT services provider based in DeKalb, Illinois, with over 30 years of experience. Established in 1989, the company has grown to be a leader in the industry, recognized as Business of the Year by the DeKalb Chamber of Commerce. SundogIT operates offices in DeKalb, Rockford, and Naperville, serving clients across the United States.

The company specializes in a wide range of IT solutions, including managed IT services, IT consulting, cyber security, cloud computing, and Microsoft 365. Their offerings also encompass backup and disaster recovery, VoIP business phone systems, data recovery, computer networking, and IT audits. SundogIT prides itself on high customer satisfaction, with a commitment to no long-term contracts and a team of certified engineers. They are recognized partners with major technology companies like Cisco and Microsoft.",1989,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66e661a0882aed00011aaa9d/picture,,,,,,,,,
Automated Business Designs,9.5,"High-Value Target. Perfect headcount (24), founded in 1982 (+1), and provides niche staffing software. Rationale: ""Search fund and small business CEOs... should gravitate toward businesses with promising economic characteristics... and slow-moving industries"".",Automated Business Designs,Cold,,24,information technology & services,yutongwen@gmail.com,http://www.abd.net,http://www.linkedin.com/company/automated-business-designs,https://www.facebook.com/ultrastaffedge,https://twitter.com/ABDtweets,8755 W Higgins Rd,Chicago,Illinois,United States,60631,"8755 W Higgins Rd, Chicago, Illinois, United States, 60631","onboarding, employment industry software, mobile staffing software, medical staffing software, back office staffing software, recruiting software, ats, staffing software, applicant tracking systems, customer relationship management, software development, workflow automation, shift scheduling, security and compliance, scheduling module, software as a service, real-time dashboards, shift differential pricing, consulting, remote candidate onboarding, services, staffing and recruiting, business intelligence, labor dispatch module, payroll integration, cloud hosting for staffing, integrations with background check services, remote staffing management, client portals, multi-branch support, cloud security, customizable workflows, onboarding e-sign forms, recruitment automation, staffing analytics dashboards, multi-ein support, data analytics, candidate management, crm integration, employee portals, multi-user access, cloud security for staffing, industry-specific staffing features, light industrial staffing software, b2b, performance analytics, computer systems design and related services, healthcare staffing software, ai-driven candidate ranking, automated candidate matching, mobile staffing solutions, candidate sourcing tools, enterprise staffing software, compliance reporting, candidate self-service portals, employee time tracking, custom invoice formats, automated billing, vms/msp portals, web portals/vms suite, information technology, professional staffing software, cloud-based staffing platform, automated onboarding, full-featured staffing solution, data security, ai staffing tools, vendor management system, credentialing tools, data analytics for staffing, software publishing, front office staffing software, healthcare, crm, sales, enterprise software, enterprises, computer software, information technology & services, saas, staffing & recruiting, analytics, computer & network security, health care, health, wellness & fitness, hospital & health care",'+1 847-671-3303,"Outlook, Microsoft Office 365, DigitalOcean, React, Sophos, Google Tag Manager, Nginx, Hubspot, YouTube, Hotjar, Mobile Friendly, Linkedin Marketing Solutions, WordPress.org, Google Analytics, Remote",,,,,3300000,,69e13f2a92aeb40001c73137,7361,54151,"Automated Business Designs (ABD) is a staffing and recruiting software company based in Chicago, Illinois. Founded in 1982, ABD has over 40 years of experience in providing enterprise-level software solutions to staffing companies. The company is recognized as a Women's Business Enterprise and has received accolades as one of Chicago's Best and Brightest Companies to Work For for seven consecutive years.

ABD's main product is Ultra-Staff EDGE, a comprehensive staffing and recruiting software solution tailored for temporary staffing, direct hire, and medical staffing operations. This platform features a customizable interface and includes essential components such as front and back office management, onboarding applications, mobile applications, and data analytics. Ultra-Staff EDGE has been implemented in over 500 staffing companies across the U.S. and Canada and has received multiple awards, including a Gold Stevie Award for Best Time and Expense Solution in 2024. ABD is committed to personalized service and invests in research and development to meet the evolving needs of the staffing industry.",1982,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69a694f79869bf0001457557/picture,,,,,,,,,
ATB Technologies,6,"Founded in 2002 (+1). While stable, its ""90% growth rate"" and Inc. 5000 ranking suggest it is a ""growth"" play rather than the ""stagnant"" profile sought. Rationale: ""Not All Revenue Is Created Equally,"" and high-growth targets often lack the ""reputation for bad economics"" that creates a searcher's entry value.",ATB,Cold,,42,information technology & services,yutongwen@gmail.com,http://www.atb-tech.com,http://www.linkedin.com/company/atb-technologies,https://facebook.com/ATB-Technologies-156784567707584/,https://twitter.com/atbtech,14567 North Outer 40 Road,Chesterfield,Missouri,United States,63017,"14567 North Outer 40 Road, Chesterfield, Missouri, United States, 63017","network infastructure, security, microsoft sharepoint, budr, customer relationship management, maintenance, it services & it consulting, it monitoring, long-term it partnerships, data protection, proactive issue prevention, it support for remote employees, custom it solutions, managed services, it planning, cybersecurity tools, it support, it support for remote workers, flexible technology guidance, disaster recovery, cybersecurity, network security, it support chesterfield, it strategy, cloud management, services, it assessment, it support for nonprofits, it consulting services, client retention, information technology and services, it for nonprofits, it infrastructure support, it management, security policies, remote support, virtualization, consulting, onsite support, it for healthcare, business intelligence, it for finance, it support for business, it support for engineering, industry-leading tools, managed it support, proactive monitoring, security policy templates, it support st. louis, it support for office, it service provider, network design, long-term client retention, remote backups, industry-specific it, managed service providers, b2b, long-term partnership, help desk, cloud storage, it infrastructure optimization, it for financial services, technology for manufacturing, cybersecurity services, technology consulting, compliance support, industry-specific it solutions, it support for financial firms, cloud hosting, data security, technology partner, business technology, it for manufacturing, business analytics, it infrastructure, it solutions, it optimization, it support for healthcare, it consulting, it support for hybrid work, network security policies, help desk support, it support for manufacturing, sla-free support, cloud services, cloud computing, it support team, computer systems design and related services, business data analysis, healthcare, finance, non-profit, manufacturing, crm, sales, enterprise software, enterprises, computer software, information technology & services, analytics, management consulting, computer & network security, health care, health, wellness & fitness, hospital & health care, financial services, nonprofit organization management, mechanical or industrial engineering",'+1 314-878-4166,"EasyDNS, Sendgrid, Outlook, Autotask, Google Cloud Hosting, WP Engine, Vercel, Sophos, Chargebee, Slack, Hubspot, DoubleClick, Gravity Forms, Google Font API, WordPress.org, Nginx, Mobile Friendly, YouTube, DoubleClick Conversion, MouseFlow, Hotjar, Google Analytics, reCAPTCHA, Linkedin Marketing Solutions, Google Tag Manager, Quantcast, Google Dynamic Remarketing, Remote, Copilot, Azure Analysis Services, Microsoft Windows Server 2000, Microsoft 365",,,,,7851000,,69e13f2a92aeb40001c73153,7379,54151,"ATB Technologies is a managed IT services company located in Chesterfield, Missouri. It specializes in providing comprehensive IT support and strategic technology solutions for businesses in the St. Louis area. Founded by Ramon Bahl, the company has experienced significant growth, ranking 4,550 on the 2024 Inc. 5000 list with a remarkable three-year revenue growth of 90%. 

The company offers a wide range of services, including managed IT support, cloud solutions, cybersecurity, business intelligence and analytics, and enterprise resource planning. ATB Technologies serves various industries such as manufacturing, engineering, finance, healthcare, and nonprofits. The company is committed to high service quality and client retention, having maintained a strong track record of client satisfaction. With a growing team of approximately 32 employees and plans to double its workforce in the coming years, ATB Technologies continues to strengthen its leadership and expand its capabilities.",2002,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/670f3c8fc4d6430001c6d65a/picture,,,,,,,,,
Innovative Computers,9,"Strong ""stagnation"" signals based on listed support for legacy tech like Visual Basic and Perl (+2). Ideal headcount (27) and stable 30-year history. Rationale: ""A desirable and compelling model provides a safety net of sorts, since the industry and economic model greatly determine the success or failure of a business"".",Innovative Computers,Cold,,27,information technology & services,yutongwen@gmail.com,http://www.innovativecomputers.net,http://www.linkedin.com/company/innovative-computers,https://facebook.com/pages/Innovative-Computers/128160783975203,https://twitter.com/innovativepcs,17033 Renton Rd,Belleville,Michigan,United States,48111-3031,"17033 Renton Rd, Belleville, Michigan, United States, 48111-3031","software development, web & email hosting, information technology & services, it services & it consulting, network security, computer systems design and related services, platform support, process evaluation, cloud solutions, email hosting, encryption, cloud backup, virtual private servers, consulting, firewall support, information technology, it asset management, application servers, custom programming, government, software support, mobile apps, cloud computing, data restoration, it support, data recovery, cybersecurity, hardware support, b2b, problem identification, managed it services, services, web development, offsite redundancy, remote desktop, home automation, custom software development, web hosting, offsite testing, it consulting, wiring access control, surveillance cameras, languages support, process consulting, network support, backup and disaster recovery, wireless access points, enterprise software, enterprises, computer software, consumer electronics, consumers, hardware, internet of things, management consulting",'+1 734-697-2888,"Cloudflare DNS, Outlook, Microsoft Office 365, CloudFlare Hosting, Mobile Friendly, CallRail, Google Remarketing, Google AdSense, DoubleClick Conversion, Google Tag Manager, Google AdWords Conversion, Google Dynamic Remarketing",,,,,5229000,,69e13f2a92aeb40001c73133,7371,54151,"Innovative Computers provides leading edge technology as well as a comprehensive consulting service. We have proven experience with commercial companies and government municipalities. As a Microsoft partner, we will remain on the forefront of computer network technology by staying committed to utilizing the latest proven technology for businesses. We can analyze your entire business, then design, build, install and maintain the technology to help your organization achieve its goals. Our staff is continually being provided education on emerging technologies, and is proficient in Microsoft SQL, MySQL, RDBMSs, Oracle, Visual Basic, C++, Java, and Perl Programming Languages, PHP, ASP, Javascript, Flash, .NET, MFC, ATL and VCL Application Frameworks, DCOM, CORBA, and SOAP Distributed Process Technologies.",1996,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675825ce77307a0001ca1b7a/picture,,,,,,,,,
